time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/loss,train/clip_fraction,train/value_loss,train/learning_rate,train/clip_range,train/entropy_loss
22,49.835,66.08,16384,727,1,,,,,,,,,,
82,47.995,62.41,32768,398,2,-0.007262468338012695,-0.01036912987983669,0.012305152,10,4.8567585945129395,0.1509033203125,14.291834054933862,0.0003,0.2,-1.9344861259218304
141,52.14,62.91,49152,347,3,0.8275765627622604,-0.013610272176811123,0.018312702,20,1.0026395320892334,0.196746826171875,6.758411447168328,0.0003,0.2,-1.9034601983614265
210,57.1575,70.29,65536,311,4,0.9394476152956486,-0.01948575313290348,0.015776018,30,1.2205333709716797,0.226837158203125,4.601862437231466,0.0003,0.2,-1.8293505860492587
275,68.905,88.22,81920,297,5,0.9399339258670807,-0.01932636451201688,0.017217785,40,0.7211164236068726,0.244580078125,4.317740523815155,0.0003,0.2,-1.7591679441276937
334,83.3975,116.07,98304,293,6,0.9469122886657715,-0.01728722376510632,0.016339887,50,0.8688635230064392,0.240423583984375,3.2734712127712555,0.0003,0.2,-1.6658827004488557
388,92.97,127.01,114688,295,7,0.9470873922109604,-0.017809104761454364,0.018540654,60,1.3767781257629395,0.23115234375,2.5132588842650874,0.0003,0.2,-1.5342484808061272
447,100.595,141.95,131072,292,8,0.9523477479815483,-0.013917018488973554,0.01890567,70,0.48791688680648804,0.210614013671875,2.239082314062398,0.0003,0.2,-1.436304454645142
509,102.2075,132.58,147456,289,9,0.9685769490897655,-0.010998193799969158,0.016226804,80,0.17038947343826294,0.18135986328125,1.795738340902608,0.0003,0.2,-1.3744203068315983
571,106.095,138.18,163840,286,10,0.9713630639016628,-0.011755501178777194,0.017984921,90,0.27180200815200806,0.185577392578125,1.9188669329625554,0.0003,0.2,-1.298039991548285
635,106.04,132.09,180224,283,11,0.9757200423628092,-0.011902110721712234,0.016837992,100,0.35194331407546997,0.18291015625,1.816015884873923,0.0003,0.2,-1.297060627117753
690,109.535,143.76,196608,284,12,0.978869104757905,-0.010352074186084793,0.017377919,110,0.5992615222930908,0.17264404296875,1.930035772838164,0.0003,0.2,-1.26375842099078
746,115.095,142.03,212992,285,13,0.9817457161843777,-0.011124168676360568,0.018439025,120,0.3028111457824707,0.191094970703125,1.5404383827815764,0.0003,0.2,-1.2900506472215056
806,117.2075,148.09,229376,284,14,0.9830151107162237,-0.010798673295903427,0.019917171,130,0.6085229516029358,0.184429931640625,1.7475876953685656,0.0003,0.2,-1.250982129573822
863,121.0075,155.21,245760,284,15,0.9866064358502626,-0.010805811687168898,0.020028027,140,0.3094489574432373,0.190771484375,1.5019402477541006,0.0003,0.2,-1.1902813390828668
920,118.455,139.88,262144,284,16,0.9858088288456202,-0.011259371987944179,0.02090978,150,0.5189357399940491,0.188995361328125,1.6073412376514171,0.0003,0.2,-1.147397351800464
978,125.7525,147.66,278528,284,17,0.9830099791288376,-0.008370524286510772,0.02321188,160,0.3773508071899414,0.213037109375,2.1267204970587046,0.0003,0.2,-1.1675883735762909
1032,128.9875,140.43,294912,285,18,0.9872109396383166,-0.009116233663371531,0.023265436,170,0.29661494493484497,0.2165283203125,1.8792357049067505,0.0003,0.2,-1.1005905045196414
1091,126.7775,137.12,311296,285,19,0.987111272290349,-0.008730891513732787,0.025064658,180,0.5085409283638,0.211444091796875,2.054760716157034,0.0003,0.2,-1.0614801126765088
1144,127.0625,134.83,327680,286,20,0.9845846733078361,-0.005952995142797591,0.025841892,190,0.30696189403533936,0.21845703125,2.4477833001874387,0.0003,0.2,-1.0655006817774848
1198,130.15,134.08,344064,287,21,0.9857875276356936,-0.007022830620007881,0.02479673,200,0.4698715806007385,0.218994140625,2.7269832491059787,0.0003,0.2,-1.0088284967001528
1250,127.175,123.32,360448,288,22,0.9857907174155116,-0.006728839721472468,0.027422844,210,0.38629257678985596,0.22076416015625,2.3767022558487954,0.0003,0.2,-0.9280914549948648
1303,130.8625,136.77,376832,289,23,0.9866002416238189,-0.003728456075623399,0.02969575,220,0.8666574954986572,0.23568115234375,2.5315207912237385,0.0003,0.2,-0.947367978701368
1361,131.91,141.59,393216,288,24,0.988109297119081,-0.0036380113329869345,0.02869109,230,0.35115936398506165,0.22275390625,2.331369894312229,0.0003,0.2,-0.9555608257418499
1419,136.2075,149.91,409600,288,25,0.9872760409489274,-0.005838203803432407,0.029009357,240,0.31137728691101074,0.221673583984375,2.295719890692271,0.0003,0.2,-0.9585148424608633
1482,137.48,145.25,425984,287,26,0.9883341556414962,-0.008227214869657473,0.027414687,250,0.4916295111179352,0.22572021484375,2.067523712525144,0.0003,0.2,-0.944954945333302
1547,138.6925,142.41,442368,285,27,0.9868431519716978,-0.006289458876381104,0.029808212,260,0.30361270904541016,0.226141357421875,2.4781462102080694,0.0003,0.2,-0.9174718643771484
1608,140.02313708,147.58,458752,285,28,0.9876213669776917,-0.004700279331427737,0.027825594,270,0.2363375723361969,0.222564697265625,2.1888610976981,0.0003,0.2,-0.9069205177249386
1658,141.865,147.58,475136,286,29,0.9893530337139964,-0.006398358915066638,0.027966488,280,0.15195323526859283,0.2176025390625,1.9579013757465873,0.0003,0.2,-0.9289818854769691
1710,139.81,138.51,491520,287,30,0.9897194691002369,-0.004020980865607271,0.027865846,290,0.2749936580657959,0.226593017578125,2.0775876892963425,0.0003,0.2,-0.9249491699039936
1764,143.7075,145.1,507904,287,31,0.9886364247649908,-0.004753688733853778,0.030321218,300,0.36902424693107605,0.228790283203125,2.4733699080883524,0.0003,0.2,-0.8870377565966919
1820,144.03,135.23,524288,287,32,0.987042979337275,-0.00425475002884923,0.030544788,310,0.24460943043231964,0.221405029296875,2.41281321910792,0.0003,0.2,-0.8861803904175758
1873,142.7325,146.29,540672,288,33,0.9889276577159762,-0.0025796976527999505,0.029038627,320,0.5117854475975037,0.2202880859375,2.498734873055946,0.0003,0.2,-0.8754682849859818
1925,143.335,145.73,557056,289,34,0.9900497775524855,-0.004543641447344271,0.03209621,330,0.33071407675743103,0.222198486328125,2.1340950967220125,0.0003,0.2,-0.8270252330228687
